Indicator ID,Workshop,Workshop (Name),Workshop Date,Sex,Economy,Economy (Name),Fiscal Year,Other Economy,Organization,Workstream,Workstream (Name),Last Updated
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Viet Nam,Unknown,FY25,Unknown,Commission for standards metrology and quality of Vietnam,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,The Philippines,Unknown,FY25,Unknown,Philippines Anti-Red Tape Authority,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Peru,Unknown,FY25,Unknown,Ministry of Foreign Trade and Tourism,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,The Philippines,Unknown,FY25,Unknown,Department of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,People's Republic of China,Unknown,FY25,Unknown,CHINA CERTIFICATION & ACCREDITATION INSTITUTE,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,People's Republic of China,Unknown,FY25,Unknown,Guangxi Institute of Standards and Technology,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Chile,Unknown,FY25,Unknown,Subrei,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Thailand,Unknown,FY25,Unknown,Thai Industrial Standards Institute,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Thailand,Unknown,FY25,Unknown,Thai Industrial Standards Institute,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Thailand,Unknown,FY25,Unknown,Thai Industrial Standards Institute,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Australia,Unknown,FY25,Unknown,Standards Australia,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Republic of Korea,Unknown,FY25,Unknown,TBT R&I CENTER,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Malaysia,Unknown,FY25,Unknown,Department of Standards Malaysia,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Thailand,Unknown,FY25,Unknown,Office of the Council of State,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Canada,Unknown,FY25,Unknown,Standards Council of Canada,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Republic of Korea,Unknown,FY25,Unknown,Korean Standards Association,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Singapore,Unknown,FY25,Unknown,Ministry of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Republic of Korea,Unknown,FY25,Unknown,KATS,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,United States of America,Unknown,FY25,Unknown,APEC RISE,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,United States of America,Unknown,FY25,Unknown,APEC RISE,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,United States of America,Unknown,FY25,Unknown,Specialized ,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Other,Unknown,FY25,Other,Consultores Internacionales Ansley,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Mexico,Unknown,FY25,Unknown,Digital Transformation and Telecommunications Agency ,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Republic of Korea,Unknown,Unknown,Unknown,Korean Standards Association,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,United States of America,Unknown,Unknown,Unknown,APEC RISE,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Mexico,Unknown,Unknown,Unknown,Digital Transformation Agency,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Peru,Unknown,Unknown,Unknown,AGRARIAN HEALTH OFICIAL SERVICE,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,The Philippines,Unknown,Unknown,Unknown,Department of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,The Philippines,Unknown,Unknown,Unknown,DEPARTMANT OF TRADE AND INDUSTRY,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,The Philippines,Unknown,Unknown,Unknown,Philippines Anti-Red Tape Authority,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Peru,Unknown,Unknown,Unknown,"National agrarian health service SENASA, Control Authority organic production",recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Chile,Unknown,Unknown,Unknown,"Undersecretariat of International Economic Relations,",recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,United States of America,Unknown,Unknown,Unknown,Walmart,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Indonesia,Unknown,Unknown,Unknown,National Standardization Agency of Indonesia,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Thailand,Unknown,Unknown,Unknown,Thai Industrial Standards Institute,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,People's Republic of China,Unknown,Unknown,Unknown,Guangxi Institute of Standards and Technology,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Thailand,Unknown,Unknown,Unknown,TISI,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
